Ob,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
1838,DENIED,11/29/2016,12/5/2016,H-1B,12/1/2016,11/30/2017,GENERAL HOSPITAL CORPORATION,MASSACHUSETTS GENERAL HOSPITAL,PARTNERS INTERNATIONAL OFFICE,BOSTON,MA,2114,UNITED STATES OF AMERICA,,6177269211,,N,",",,,RESEARCH FELLOW,19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",622110,1,1,0,0,0,0,0,N,21.23,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,22.99,0,Hour,N,N,,Y,NA,BOSTON,SUFFOLK,MA,2114,
1839,DENIED,3/30/2017,4/5/2017,H-1B,9/29/2017,9/28/2020,ACUPUNCTURE CLINICS OF SEATTLE,NEW HEALTH MEDICAL CENTER,23700 EDMONDS WAY,EDMONDS,WA,98026,UNITED STATES OF AMERICA,,4257756001,,Y,"LIN, STEWART",HOUSTON,TX,NATUROPATHIC PHYSICIAN,29-1199,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL",621399,1,1,0,0,0,0,0,N,21.8,Hour,Level I,Other,2016,OFLC ONLINE DATA CENTER,21.8,0,Hour,N,N,,Y,NA,EDMONDS,SNOHOMISH,WA,98026,
1840,DENIED,6/5/2017,6/6/2017,H-1B,7/1/2017,6/30/2020,"THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR. UNIVERSITY",STANFORD UNIVERSITY,C/O BECHTEL INTERNATIONAL CENTER,STANFORD,CA,94305,UNITED STATES OF AMERICA,,6507250888,,N,",",,,POSTDOCTORAL RESEARCH AFFILIATE,19-1029,"BIOLOGICAL SCIENTISTS, ALL OTHER",611310,1,1,0,0,0,0,0,Y,50627,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,58000,0,Year,N,N,,,NA,STANFORD,SANTA CLARA,CA,94305,
1841,DENIED,2/6/2017,2/10/2017,H-1B,2/6/2017,2/6/2020,212BOX ARCHITECTURE PC,,88 PINE STREET,NEW YORK,NY,10005,UNITED STATES OF AMERICA,,2122339170,,N,",",,,JUNIOR DESIGNER,17-3011,ARCHITECTURAL AND CIVIL DRAFTERS,54134,1,1,0,0,0,0,0,Y,40810,Year,,OES,2015,,44000,0,Year,N,N,,Y,NA,NEW YORK,NEW YORK,NY,10005,
1842,DENIED,3/20/2017,3/20/2017,H-1B,9/1/2017,8/31/2020,"WING INFLATABLES, INC.",,3701 MT. DIABLO BLVD.,LAFAYETTE,CA,94549,UNITED STATES OF AMERICA,,7078262887,132,Y,"GALEANO, HECTOR",MIAMI,FL,PROGRAM MANAGER,17-2112,INDUSTRIAL ENGINEERS,336612,1,1,0,0,0,0,0,Y,66934,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,95000,Year,N,N,,Y,NA,LAFAYETTE,CONTRA COSTA,CA,94549,
1843,DENIED,10/21/2016,10/21/2016,H-1B,11/1/2016,10/31/2019,"ELASTICSEARCH, INC.",ELASTIC,800 W EL CAMINO REAL,MOUNTAIN VIEW,CA,94040,UNITED STATES OF AMERICA,,6505436603,,Y,"KELLY, MCCOWN",SAN FRANCISCO,CA,SR. SALESFORCE ARCHITECT,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,0,0,0,1,0,Y,117936,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,117936,150000,Year,N,N,,,NA,PLANO,COLLIN,TX,75093,
1844,DENIED,11/14/2016,11/16/2016,H-1B,12/1/2016,11/1/2019,AB GROUP PACKAGING INC,,1800 OGLETOWN ROAD,NEWARK,DE,19711,UNITED STATES OF AMERICA,USA,3024444940,,N,",",,,PAPER MACHINE OPERATOR,51-9196,"PAPER GOODS MACHINE SETTERS, OPERATORS, AND",322220,2,2,0,0,0,0,0,Y,29182,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,18,25,Hour,N,N,,Y,NA,NEWARK,NEWCASTLE,DE,19711,
1845,DENIED,3/6/2017,3/8/2017,H-1B,9/5/2017,9/4/2020,ALMA REALTY CORP.,,31-10 37TH AVE,SUITE 500,NY,11101,UNITED STATES OF AMERICA,,7182670300,,Y,"HU, ZHIYU",EDISON,NJ,ACCOUNTANT,13-2011,ACCOUNTANTS AND AUDITORS,53131,1,1,0,0,0,0,0,N,26.81,Hour,Level I,OES,2017,OFLC ONLINE DATA CENTER,26.81,0,Hour,N,N,,Y,NA,LONG ISLAND CITY,QUEENS,NY,11101,
1846,DENIED,9/14/2017,9/18/2017,H-1B,10/1/2017,10/1/2020,"MERCURY INSURANCE SERVICES, LLC",,555 W. IMPERIAL HIGHWAY,BREA,CA,92821,,,,,,",",,,SR. SOFTWARE DEVELOPER ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",524126,1,0,0,0,0,1,0,Y,104400,Year,,Other,2016,TOWERS WATSON 2016 INFORMATION TECHNOLOGY COMPENSATION SURVEY,104400,146080,Year,N,N,,,NA,BREA,ORANGE,CA,92821,
1847,DENIED,3/1/2017,3/6/2017,H-1B,8/1/2017,7/31/2020,MENTOR GRAPHICS CORPORATION,,8005 SW BOECKMAN ROAD,WILSONVILLE,OR,97070,UNITED STATES OF AMERICA,,5036857000,,Y,"FAURE WENGER, KARINE",SAN DIEGO,CA,BUSINESS SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541512,1,0,1,0,0,0,0,Y,102627,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,102627,164300,Year,N,N,,,NA,WILSONVILLE,CLACKAMAS,OR,97070,
1848,DENIED,3/30/2017,3/30/2017,H-1B,9/1/2017,8/31/2020,"I3INFOTEK, INC.",,120 WOOD AVE S,ISELIN,NJ,8830,UNITED STATES OF AMERICA,,7327344098,,N,",",,,VALIDATION ENGINEER CONSULTANT&NBSP;,17-2199,"ENGINEERS, ALL OTHER",541511,1,1,0,0,0,0,0,Y,59072,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,60000,0,Year,N,N,,Y,NA,SALISBURY,WICOMICO,MD,21801,
1849,DENIED,2/26/2017,3/1/2017,H-1B,8/21/2017,9/30/2019,RAISER TECHNOLOGIES INC,,75 EXECUTIVE DR,AURORA,IL,60504,UNITED STATES OF AMERICA,,6302250086,,N,",",,,COMPUTER PROGRAMMER,15-1131,COMPUTER PROGRAMMERS,541511,1,1,0,0,0,0,0,Y,61500,Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,61500,0,Year,Y,N,N,Y,NA,AURORA,IL - ILLINOIS,IL,60504,
1850,DENIED,6/16/2017,6/16/2017,H-1B,7/3/2017,7/2/2020,"GLOBAL EXPERIENCE SPECIALISTS, INC.",,7000 LINDELL ROAD,LAS VEGAS,NV,89118,UNITED STATES OF AMERICA,,7025155500,,Y,"BAE, DAVIS",SEATTLE,WA,SENIOR SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,54189,1,0,0,0,0,1,0,Y,102461,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,102461,0,Year,N,N,,,NA,HODGKINS,COOK,IL,60525,
1851,DENIED,7/14/2017,7/17/2017,E-3 Australian,7/31/2017,7/31/2019,JULIE BOOTH HABERFELD,,6350 W 79TH ST,LOS ANGELES,CA,90045,,,,,,",",,,BUYING MANAGEMENT CONSULTANT,13-1022,"WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",541990,1,1,0,0,0,0,0,Y,58926,Year,,OES,2017,,60000,0,Year,,,,,NA,BROOKLYN,NEW YORK,NY,11237,
1852,DENIED,3/16/2017,3/16/2017,H-1B,9/15/2017,9/14/2020,"NAM TECHNOLOGIES, INC.",,5755 NORTH POINT PARKWAY,ALPHARETTA,GA,30022,UNITED STATES OF AMERICA,,6783415166,,Y,"SIKAL, SOWMIYA",ALPHARETTA,GA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,58510,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,62500,0,Year,Y,N,Y,,NA,ALPHARETTA,FULTON,GA,30022,
1853,DENIED,1/26/2017,1/31/2017,E-3 Australian,2/13/2017,5/4/2018,"JENSON AND COMPANY CPA, P.C.",,"15708 N.PENNSYLVANIA AVE., SUITE ONE",EDMOND,OK,73013,UNITED STATES OF AMERICA,,4057151556,,N,",",,,ACCOUNTANT,13-2011,ACCOUNTANTS AND AUDITORS,541211,1,0,0,1,0,0,0,Y,44658,Year,Level II,OES,2015,OFLC ONLINE DATA CENTER,48000,0,Year,,,,,NA,EDMOND,OKLAHOMA,OK,73013,
1854,DENIED,3/1/2017,3/1/2017,H-1B,8/28/2017,8/28/2020,DISTRIBUIDORA LIMENA,,1188 ANTIOCH PIKE,NASHVILLE,TN,37211,UNITED STATES OF AMERICA,,6158320906,,Y,"MALUJE, CAROLINA",MIAMI,FL,MARKETING RESEARCH ANALYST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,42441,1,1,0,0,0,0,0,Y,32510,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,32510,0,Year,N,N,,Y,NA,NASHVILLE,TN,TN,37211,
1855,DENIED,3/17/2017,3/21/2017,H-1B,9/12/2017,9/11/2020,"HYPE ASSETS, INC.",MOO TUNA,155-32 116 RD.,JAMAICA,NY,11434,UNITED STATES OF AMERICA,,9174973277,,Y,"HEMRICK, NICOLE",NEW YORK,NY,GENERAL MANAGER,21-Nov,MARKETING MANAGERS,5418,1,1,0,0,0,0,0,N,34.76,Hour,Level I,OES,2017,OFLC ONLINE DATA CENTER,34.76,0,Hour,N,N,,Y,NA,JAMAICA,QUEENS,NY,11434,
1856,DENIED,4/14/2017,4/17/2017,H-1B,10/10/2017,10/9/2020,"BEACHBODY, LLC",,3301 EXPOSITION BOULEVARD,SANTA MONICA,CA,90404,UNITED STATES OF AMERICA,,3108839000,,Y,"DE BONO, LORNA",LOS ANGELES,CA,"SENIOR ENGINEER, SOFTWARE",15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",812191,1,0,1,0,0,0,0,Y,127608,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,140190,0,Year,N,N,,,NA,SANTA MONICA,LOS ANGELES,CA,90404,
1857,DENIED,1/13/2017,1/19/2017,E-3 Australian,2/1/2017,2/1/2019,"DEL AMO CONSTRUCTION, INC.",,23840 MADISON STREET,TORRANCE,CA,90505,UNITED STATES OF AMERICA,,3103786203,208,N,",",,,ASSISTANT PROJECT MANAGER,17-2052,"CIVIL ENGINEERS, NON-R&D",23622,1,0,1,0,0,0,0,Y,84302,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,75000,0,Year,,,,,NA,TORRANCE,LOS ANGELES,CA,90505-6009,
1858,DENIED,3/10/2015,7/27/2017,H-1B,7/14/2015,7/13/2018,PVR TECHNOLOGIES INC.,,144 EAST DEKALB PIKE,KING OF PRUSSIA,PA,19406,,,,,,",",,,CLINICAL SAS PROGRAMMER ANALYST,15-2041,STATISTICIANS,541600,1,1,0,0,0,0,0,Y,30.54,Hour,,Other,2014,FLC DATA CENTER ONLINE WAGE LIBRARY,32.5,0,Hour,Y,N,Y,,NA,SOMERSET,SOMERSET,NJ,8873,
1859,DENIED,2/3/2017,2/3/2017,H-1B,8/5/2017,8/5/2020,"QUICKEN LOANS, INC.",,1050 WOODWARD AVE,DETROIT,MI,48226,UNITED STATES OF AMERICA,,3135455722,,Y,"LOWRY, SARA",WEST BLOOMFIELD,MI,SQA ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",522291,1,1,0,0,0,0,0,Y,61901,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,90000,0,Year,N,N,,,NA,DETROIT,WAYNE,MI,48226,
1860,DENIED,6/23/2017,6/23/2017,H-1B,6/28/2017,6/25/2020,LARSEN & TOUBRO INFOTECH LIMITED,,2035 LINCOLN HIGHWAY,EDISON,NJ,8817,UNITED STATES OF AMERICA,,7322486353,,N,",",,,COMPUTER SYSTEMS ANALYSTS,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,0,1,Y,67434,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,68172,0,Year,Y,N,Y,Y,NA,ATLANTA,FULTON,GA,30339,
1861,DENIED,5/19/2017,5/21/2017,H-1B,6/12/2017,6/11/2020,"ASCENDUM SOLUTIONS, LLC",,10290 ALLIANCE ROAD,CINCINNATI,OH,45242,UNITED STATES OF AMERICA,,5137925100,,Y,"SCHALNAT, ELEANOR",CINCINNATI,OH,SHAREPOINT DEVELOPER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,10,0,0,0,0,10,0,Y,49.3,Hour,Level IV,Other,2016,OFLC ONLINE DATA CENTER,49.28,0,Hour,N,N,N,Y,NA,CINCINNATI,HAMILTON,OH,45242,
1862,DENIED,3/9/2017,3/10/2017,H-1B,8/29/2017,8/28/2020,IBM CORPORATION,,3039 E CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192544342,,N,",",,,MOBILE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54151,1,1,0,0,0,0,0,Y,111405,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,118675.2,125000,Year,N,N,,,NA,ARMONK,WESTCHESTER,NY,10504,
1863,DENIED,12/27/2016,1/4/2017,H-1B,6/15/2017,6/14/2020,"CHILDREN'S HOSPITAL MEDICAL CENTER OF AKRON, INC.",,1 PERKINS SQUARE,AKRON,OH,44308,UNITED STATES OF AMERICA,,3305431000,,Y,"GEMIND, LINDA",CLEVELAND,OH,PEDIATRIC PULMONOLOGIST,29-1065,"PEDIATRICIANS, GENERAL",6221,1,0,1,0,0,0,0,Y,101878,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,169000,0,Year,N,N,,,NA,AKRON,OHIO,OH,44308,
1864,DENIED,4/13/2017,4/13/2017,H-1B,9/13/2017,9/13/2020,BIAS CORPORATION,,1801 OLD ALABAMA ROAD,ROSWELL,GA,30076,UNITED STATES OF AMERICA,,7703520151,,Y,"SHARMA, ASHEESH",ATLANTA,GA,DATABASE ADMINISTRATOR (ASSOCIATE CONSULTANT),15-1141,DATABASE ADMINISTRATORS,541511,1,0,1,0,0,0,0,Y,85405,Year,Level III,Other,2016,OFLC ONLINE DATA CENTER,88000,0,Year,Y,N,Y,,NA,ROSWELL,FULTON,GA,30076,
1865,DENIED,11/10/2016,11/11/2016,H-1B,1/11/2017,1/10/2020,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9195430303,,N,",",,,APPLICATION ARCHITECT,15-1131,COMPUTER PROGRAMMERS,54151,1,0,1,0,0,0,0,Y,63544,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,81837,0,Year,N,N,,,NA,WALLINGFORD,NEW HAVEN,CT,6492,
1866,DENIED,5/19/2017,5/21/2017,H-1B,6/12/2017,6/11/2020,"ASCENDUM SOLUTIONS, LLC",,10290 ALLIANCE ROAD,CINCINNATI,OH,45242,UNITED STATES OF AMERICA,,5137925100,,Y,"SCHALNAT, ELEANOR",CINCINNATI,OH,SHAREPOINT DESIGNER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,10,0,0,0,0,10,0,Y,42.95,Hour,Level III,Other,2016,OFLC ONLINE DATA CENTER,49.28,0,Hour,N,N,,Y,NA,CINCINNATI,HAMILTON,OH,45242,
1867,DENIED,3/16/2017,3/16/2017,H-1B,9/1/2017,8/31/2020,MULTI DIMENSIONAL CONSULTING,,"68 CULVER ROAD, SUITE 160",MONMOUTH JUNCTION,NJ,8852,UNITED STATES OF AMERICA,,7326660115,,Y,"POPIEL, MARK",BUFFALO,NY,SYSTEMS ANALYST-HYPERION,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,1,0,0,0,0,0,Y,70221,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,75000,0,Year,N,N,,,NA,MONMOUTH JUNCTION,MIDDLESEX,NJ,8852,
1868,DENIED,12/29/2016,1/4/2017,H-1B,6/30/2017,7/31/2018,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192541582,,N,",",,,APPLICATION ARCHITECT,15-1121,COMPUTER SYSTEMS ANALYSTS,54151,1,1,0,0,0,0,0,Y,78603,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,78506,0,Year,N,N,,,NA,WALTHAM,MIDDLESEX,MA,2451,
1869,DENIED,3/11/2017,3/11/2017,H-1B,8/1/2017,8/1/2020,"NIAGARA BOTTLING, LLC",,2560 E. PHILADELPHIA ST.,ONTARIO,CA,91761,UNITED STATES OF AMERICA,,9092158463,,Y,"MASSARD, LOUIS",CHICAGO,IL,DIRECTOR OF ASSET CASE (11-3051.01),Nov-51,INDUSTRIAL PRODUCTION MANAGERS,312112,1,0,1,0,0,0,0,Y,114358,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,209000,0,Year,N,N,,Y,NA,ONTARIO,SAN BERNARDINO,CA,91761,
1870,DENIED,2/13/2017,2/13/2017,H-1B,6/1/2017,5/31/2020,JOHN WAYNE CANCER INST AT PROVIDENCE SAINT JOHN'S HEALTH CENTER,,2200 SANTA MONICA BLVD,SANTA MONICA,CA,90404,UNITED STATES OF AMERICA,,3105827067,,Y,"MILLER, BLAKE",IRVINE,CA,ASSISTANT FACULTY MEMEGER,19-1021,BIOCHEMISTS AND BIOPHYSICISTS,622110,1,0,1,0,0,0,0,Y,87589,Year,Level II,Other,2017,OFLC ONLINE DATA CENTER,88000,105000,Year,N,N,,,NA,SANTA MONICA,LOS ANGELES,CA,90404,
1871,DENIED,10/6/2016,10/7/2016,H-1B,10/17/2016,10/17/2019,"RHOMBIUM SOFTWARE, INC",,47697 WESTINGHOUSE DR,FREMONT,CA,94539,UNITED STATES OF AMERICA,,5105657713,,Y,"ABDULLAH, HASAN",FREMONT,CA,SOFTWARE QA,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541512,1,0,0,0,0,0,1,Y,66518,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,66518,0,Year,N,N,,Y,NA,SUNNYVALE,SANTA CLARA,CA,94086,
1872,DENIED,11/17/2016,11/17/2016,H-1B,11/17/2016,11/16/2019,CAPGEMINI AMERICA INC,,333 WEST WACKER DRIVE,CHICAGO,IL,60606,UNITED STATES OF AMERICA,,3123955000,,N,",",,,PROGRAMMER/DEVELOPER 2,15-1131,COMPUTER PROGRAMMERS,5416,3,0,1,0,0,1,1,Y,60944,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,61000,0,Year,Y,N,Y,,NA,KANSAS CITY,JACKSON,MO,64108,
1873,DENIED,3/2/2017,8/15/2017,H-1B,8/28/2017,8/27/2020,EXILANT TECHNOLOGIES PRIVATE LIMITED,,20195 STEVENS CREEK BOULEVARD,CUPERTINO,CA,95014,UNITED STATES OF AMERICA,,4082552640,,Y,"SCARBOROUGH, STEPHANIE",JACKSONVILLE,FL,SYSTEMS ANALYST I,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,1,0,0,0,0,0,Y,35.79,Hour,Level I,Other,2016,OFLC ONLINE DATA CENTER,39.42,0,Hour,Y,N,Y,Y,NA,SUNNYVALE,SANTA CLARA,CA,94085,
1874,DENIED,9/11/2017,9/11/2017,H-1B,3/3/2018,3/2/2021,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",,ONE APPLIED PLAZA,CLEVELAND,OH,44115,,,,,,",",,,SAP PTP ANALYST - LEAD,15-1121,COMPUTER SYSTEMS ANALYSTS,424130,1,0,1,0,0,0,0,Y,91146,Year,,OES,2017,OFLC ONLINE DATA CENTER,92000,102000,Year,N,N,,Y,NA,CLEVELAND,CUYAHOGA,OH,44115,
1875,DENIED,2/25/2017,2/28/2017,H-1B,8/24/2017,8/23/2020,"STEPHANIE N. MCCLELLAN, M.D., INC.",,1601 AVOCADO,NEWPORT BEACH,CA,92660,UNITED STATES OF AMERICA,,9497123600,,Y,"ROOT, JAMES",LOS ANGELES,CA,MANAGEMENT ANALYST,13-1111,MANAGEMENT ANALYSTS,621111,1,1,0,0,0,0,0,Y,27.64,Hour,Level I,OES,2017,OFLC ONLINE DATA CENTER,27.64,0,Hour,N,N,,Y,NA,NEWPORT BEACH,ORANGE,CA,92660,
1876,DENIED,3/6/2017,3/6/2017,H-1B,9/5/2017,9/4/2020,"SILEXX FINANCIAL SYSTEMS, LLC",,1800 2ND STREET,SARASOTA,FL,34236,UNITED STATES OF AMERICA,,9418709531,,Y,"JAENSCH KARINS, VICTORIA",SARASOTA,FL,SOFTWARE ENGINEER - FULL STACK DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",523910,1,1,0,0,0,0,0,Y,64210,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,70000,0,Year,N,N,,Y,NA,SARASOTA,SARASOTA,FL,34234,
1877,DENIED,11/7/2016,11/7/2016,H-1B,5/1/2017,4/30/2020,MEMORIAL SLOAN-KETTERING CANCER CENTER,PATRICIA A. WILLIAMS,633 THIRD AVENUE,NEW YORK,NY,10017,UNITED STATES OF AMERICA,,6462273655,,N,",",,,SENIOR RESEARCH TECHNICIAN,19-1021,BIOCHEMISTS AND BIOPHYSICISTS,622310,1,1,0,0,0,0,0,Y,44720,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,51569,51569,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10065,
1878,DENIED,3/10/2017,3/17/2017,H-1B,3/23/2017,4/21/2018,"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",,ONE CONTINENTAL DRIVE,AUBURN HILLS,MI,48326,UNITED STATES OF AMERICA,,2483936535,,Y,"CORY, JENNIFER",CHARLOTTE,NC,PROJECT ENGINEER (FORMERLY CUSTOMER LIAISON ENGINEER),17-2072,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",336322,1,0,1,0,0,1,0,Y,74381,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,79070,95160,Year,N,N,,,NA,TROY,OAKLAND,MI,48098,
1879,DENIED,8/25/2017,8/30/2017,E-3 Australian,9/1/2017,8/31/2019,"MULLENLOWE US, INC.",,40 BROAD STREET,BOSTON,MA,2109,,,,,,",",,,"VP, CREATIVE DIRECTOR/ART",11-Nov,ADVERTISING AND PROMOTIONS MANAGERS,541810,1,0,0,0,0,1,0,Y,172952,Year,,OES,2017,OFLC ONLINE DATA CENTER,260000,0,Year,,,,,NA,NEW YORK,NEW YORK,NY,10016,
1880,DENIED,4/28/2017,5/1/2017,H-1B,5/9/2017,5/9/2020,"SYNECHRON, INC.",,1571 SAWGRASS CORP PKWY,SUNRISE,FL,33323,UNITED STATES OF AMERICA,,9546715349,,Y,"SINGH, RAJDEEP",ATLANTA,GA,ASSOCIATE SPECIALIST-TECHNOLOGY/SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,0,0,0,1,Y,72322,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,80000,0,Year,Y,N,Y,Y,NA,NASHVILLE,DAVIDSON,TN,37201,
1881,DENIED,1/30/2017,1/30/2017,H-1B,7/30/2017,7/30/2020,WAL-MART ASSOCIATES INC.,,702 SW 8TH STREET,BENTONVILLE,AR,72716-0215,UNITED STATES OF AMERICA,,4792731993,,Y,"NIEVES, JENNY",NEW YORK,NY,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,452112,1,1,0,0,0,0,0,Y,44720,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000.16,0,Year,N,N,,,NA,BENTONVILLE,BENTON,AR,72716,
1882,DENIED,3/10/2017,3/13/2017,H-1B,9/6/2017,9/6/2020,MAXOTECH SOLUTIONS LLC,,1920 MCKINNEY AVE,DALLAS,TX,75201,UNITED STATES OF AMERICA,,2162125823,,N,",",,,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54169,1,1,0,0,0,0,0,Y,68827,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,68827,75000,Year,N,N,Y,,NA,DALLAS,DALLAS,TX,75201,
1883,DENIED,3/13/2017,3/13/2017,H-1B,9/12/2017,9/11/2020,OREGON STATE UNIVERSITY,,OSU INTERNATIONAL PROGRAMS - ISFS,CORVALLIS,OR,97333,UNITED STATES OF AMERICA,,5417373006,,N,",",,,ASSISTANT PROFESSOR,25-1011,"BUSINESS TEACHERS, POSTSECONDARY",611310,1,1,0,0,0,0,0,Y,76457,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,118000,0,Year,N,N,,Y,NA,BEND,DESCHUTES,OR,97702,
1884,DENIED,3/21/2017,3/21/2017,H-1B,9/20/2017,9/19/2020,RWS DESIGN & CONTROLS INC.,,1275 TURRET DR.,MACHESNEY PARK,IL,61115,UNITED STATES OF AMERICA,,8156546000,,Y,"LECHTENBERG, PENELOPE",ROCKFORD,IL,CONTROLS ENGINEER,17-2071,ELECTRICAL ENGINEERS,541330,2,2,0,0,0,0,0,Y,62691,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,63250,0,Year,N,N,,,NA,MACHESNEY PARK,WINNEBAGO,IL,61115,
1885,DENIED,5/1/2017,5/3/2017,H-1B,6/1/2017,6/1/2020,"FANTASTIKIDS ACADEMY, LLC",,7936 NORTH MILITARY TRAIL,PALM BEACH GARDENS,FL,33410,UNITED STATES OF AMERICA,FLORIDA,5618420071,,N,",",,,PRESCHOOL/ENRICHMENT TEACHER,25-2011,"PRESCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION",624410,1,1,0,0,0,0,0,Y,9.88,Hour,Level I,OES,2017,,9.5,11,Hour,N,N,,Y,NA,PALM BEACH GARDENS,PALM BEACH,FL,33410,
