Ob,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
864,8/11/2017,8/17/2017,H-1B,1/1/2018,12/29/2020,INFOSYS LIMITED,,6100 TENNYSON PARKWAY,PLANO,TX,75024,,,,NA,,",",,,PROJECT MANAGER - US,15-1121,COMPUTER SYSTEMS ANALYST,541511,1,0,1,0,0,0,0,Y,76773,Year,,OES,2017,OFLC ONLINE DATA CENTER,95486,0,Year,Y,N,Y,,NA,MADISON,DANE,WI,53783,
865,3/21/2017,3/27/2017,H-1B,9/15/2017,9/14/2020,"ADAPTIVE PLANNING, INC.","(NOW KNOWN AS ADAPTIVE INSIGHTS, INC.)","3350 W. BAYSHORE ROAD, SUITE 200",PALO ALTO,CA,94303,UNITED STATES OF AMERICA,,6505287500,NA,Y,"TAFAPOLSKY, ALAN",SAN FRANCISCO,CA,SOFTWARE SUPPORT ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541511,1,0,1,0,0,0,0,Y,95306,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,100291,0,Year,N,N,,,NA,PALO ALTO,SANTA CLARA,CA,94303,
866,2/16/2017,2/23/2017,H-1B,8/18/2017,8/17/2020,"NEWT GLOBAL CONSULTING, LLC",,1300 W. WALNUT HILL LANE,IRVING,TX,75038,UNITED STATES OF AMERICA,,9728873165,NA,Y,"MUSILLO, CHRISTOPHER",CINCINNATI,OH,COMPUTER SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541500,4,4,0,0,0,0,0,Y,62754,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,62800,0,Year,Y,N,Y,,NA,IRVING,DALLAS,TX,75038,
867,11/3/2016,11/9/2016,H-1B,11/10/2016,11/10/2019,"PIORION SOLUTIONS, INC.",,2475 NORTHWINDS PARKWAY,ALPHARETTA,GA,30009,UNITED STATES OF AMERICA,,4049073010,NA,N,",",,,SR. PROGRAMMER ANALYST,15-1131,COMPUTER PROGRAMMERS,541511,1,0,0,0,0,1,0,Y,34.62,Hour,Level II,OES,2016,OFLC ONLINE DATA CENTER,35,0,Hour,Y,N,Y,,NA,WEST SACRAMENTO,YOLO,CA,95605,
868,3/21/2017,3/27/2017,H-1B,4/29/2017,9/30/2019,"WAINWRIGHT INVESTMENT COUNSEL, LLC",,"ONE BOSTON PLACE, FLOOR 41",BOSTON,MA,2108,UNITED STATES OF AMERICA,,9085784538,NA,Y,"CURTIS, PHILIP",BOSTON,MA,ANALYST,13-2051,FINANCIAL ANALYSTS,523930,1,0,1,0,0,0,0,Y,61672,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,61672,0,Year,N,N,,,NA,BOSTON,SUFFOLK,MA,2108,
869,6/29/2017,7/7/2017,H-1B,7/1/2017,6/30/2020,VST CONSULTING INC,,200 MIDDLESEX ESSEX TPKE,ISELIN,NJ,8830,,,,NA,,",",,,SOFTWARE QA ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541512,1,0,1,0,0,0,0,Y,54080,Year,,Other,2017,OFLC ONLINE DATA CENTER,65000,0,Year,Y,N,Y,Y,NA,BUFFALO,ERIE,NY,14202,
870,3/7/2017,3/13/2017,H-1B,9/1/2017,9/1/2020,DUCK CREEK TECHNOLOGIES LLC,,1807 WEST JONES STREET,BOLIVAR,MO,65613,UNITED STATES OF AMERICA,,6122771047,NA,Y,"DALLMAN, CHRISTIAN",CHICAGO,IL,BUSINESS SENIOR ANALYST,13-1111,MANAGEMENT ANALYSTS,541511,1,1,0,0,0,0,0,Y,86029,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,86029,0,Year,N,N,,,NA,MURRAY HILL,UNION,NJ,7974,
871,3/12/2016,6/6/2017,H-1B,9/1/2016,12/31/2018,RAISER TECHNOLOGIES INC,,75 EXECUTIVE DR,AURORA,IL,60504,UNITED STATES OF AMERICA,,6302250086,NA,N,",",,,COMPUTER PROGRAMMER,15-1131,COMPUTER PROGRAMMERS,541511,1,1,0,0,0,0,0,Y,46842,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,47000,0,Year,N,N,N,Y,NA,AURORA,DUPAGE COUNTY,IL,60504,3/17/2016
872,4/12/2017,4/18/2017,H-1B,4/24/2017,4/23/2020,"BEELINE.COM, INC.",,12724 GRAN BAY PARKWAY WEST,JACKSONVILLE,FL,32258,UNITED STATES OF AMERICA,,9045275761,NA,Y,"DEARING, MELISSA",JACKSONVILLE,FL,DATABASE ADMINISTRATOR II,15-1141,DATABASE ADMINISTRATORS,541611,1,0,1,0,0,0,0,Y,83262,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,88000,98000,Year,N,N,,,NA,JACKSONVILLE,DUVAL,FL,32258,
873,10/22/2016,10/27/2016,H-1B,11/25/2016,3/29/2017,TECHLAND INC,,15 CORPORATE PL S,PISACATAWAY,NJ,8854,UNITED STATES OF AMERICA,,7328583138,NA,N,",",,,SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,54151,1,0,0,0,0,1,0,Y,81224,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,95000,0,Year,Y,N,Y,,NA,PITTSBURGH,ALLEGHENY,PA,15221,
874,2/24/2017,3/2/2017,H-1B,3/8/2017,3/8/2020,BANK OF AMERICA N.A.,,50 ROCKEFELLER PLAZA,NEW YORK,NY,10020,UNITED STATES OF AMERICA,,6468551847,NA,Y,"ALLEN, EMILY",LOS ANGELES,CA,VICE PRESIDENT; QA PROFESSIONAL MKTS,15-1121,COMPUTER SYSTEMS ANALYSTS,522110,1,0,0,0,0,1,0,Y,104936,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,150000,0,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10036,
875,2/6/2017,2/10/2017,H-1B,8/8/2017,8/7/2020,"TECH MAHINDRA (AMERICAS),INC.",,4965 PRESTON PARK BOULEVARD,PLANO,TX,75093,UNITED STATES OF AMERICA,,9729912900,NA,N,",",,,SOFTWARE SYSTEMS ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,1,0,0,0,0,0,Y,94932,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,94932,0,Year,Y,N,Y,Y,NA,GLENDALE,LOS ANGELES,CA,91203,
876,3/17/2017,3/23/2017,H-1B,3/23/2017,3/22/2020,INTEL CORPORATION,,2200 MISSION COLLEGE BOULEVARD,SANTA CLARA,CA,95054,UNITED STATES OF AMERICA,,4807154205,NA,Y,"SHERIDAN REGUERIN, SANDRA",SANTA CLARA,CA,SOFTWARE ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",3344,1,0,0,0,0,1,0,Y,103168,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,103168,144140,Year,N,N,,,NA,HILLSBORO,WASHINGTON,OR,97124,
877,3/16/2017,3/22/2017,H-1B,9/10/2017,9/9/2020,DILIGENT GROUP LLC,,2214 ROCK HILL RD,HERNDON,VA,20170,UNITED STATES OF AMERICA,,8444830653,NA,N,",",,,COMPUTER PROGRAMMER,15-1131,COMPUTER PROGRAMMERS,541511,1,1,0,0,0,0,0,Y,36.58,Hour,Level III,Other,2016,OFLC ONLINE DATA CENTER,40,45,Hour,Y,N,Y,Y,NA,RIVERSIDE,RIVERSIDE,CA,92518,
878,2/13/2017,2/17/2017,H-1B,8/10/2017,8/7/2020,INFOSYS LIMITED,,6100 TENNYSON PARKWAY,PLANO,TX,75024,UNITED STATES OF AMERICA,,4694672608,NA,N,",",,,TECHNOLOGY LEAD - US - PRACTITIONER,15-1121,COMPUTER SYSTEMS ANALYST,541511,1,1,0,0,0,0,0,Y,77272,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,77487,0,Year,Y,N,Y,,NA,IRVINE,ORANGE,CA,92618,
879,2/7/2017,2/13/2017,H-1B,8/5/2017,8/5/2020,"LINEAR SIGNS, INC.",VISTA VISUAL GROUP,275 WEST HOFFMAN AVENUE,LINDENHURST,NY,11757,UNITED STATES OF AMERICA,,6315325330,NA,Y,"LEE, SANG HWA",NEW YORK,NY,MARKET RESEARCH ANALYST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,541490,1,1,0,0,0,0,0,Y,54995,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,55000,0,Year,N,N,,,NA,LINDENHURST,SUFFOLK,NY,11757,
880,2/20/2017,2/24/2017,H-1B,8/16/2017,8/15/2020,"ENGINEERING TECHNOLOGY ASSOCIATES, INC.",ETA,"1133 E. MAPLE RD., STE. 200",TROY,MI,48083,UNITED STATES OF AMERICA,,2487293010,NA,N,",",,,MECHANICAL ENGINEER,17-2141,MECHANICAL ENGINEERS,541330,1,1,0,0,0,0,0,Y,62650,Year,Level I,Other,2017,OFLC ONLINE DATA CENTER,63000,0,Year,Y,N,Y,Y,NA,TROY,OAKLAND,MI,48083,
881,3/3/2017,3/9/2017,H-1B,4/1/2017,3/29/2020,INFOSYS LIMITED,,6100 TENNYSON PARKWAY,PLANO,TX,75024,UNITED STATES OF AMERICA,,4694672608,NA,N,",",,,PRODUCTION SUPPORT ANALYST - US,15-1121,COMPUTER SYSTEMS ANALYST,541511,1,0,0,1,0,0,0,Y,55390,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,68785,0,Year,Y,N,Y,,NA,MILWAUKEE,MILWAUKEE,WI,53202,
882,3/2/2017,3/8/2017,H-1B,9/1/2017,8/31/2020,"WEBROOT, INC.",,385 INTERLOCKEN CRESCENT,BROOMFIELD,CO,80021,UNITED STATES OF AMERICA,,3034423813,NA,Y,"CURRAY, EMILY",DENVER,CO,SOFTWARE ENGINEER - MACHINE LEARNING,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",511210,1,1,0,0,0,0,0,Y,64397,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,64397,95001,Year,N,N,,,NA,SAN DIEGO,SAN DIEGO,CA,92121,
883,1/23/2017,1/27/2017,H-1B,7/23/2017,7/23/2020,"PIVOTAL SOFTWARE, INC.",PIVOTAL,875 HOWARD STREET,SAN FRANCISCO,CA,94103-9410,UNITED STATES OF AMERICA,,4157774868,NA,Y,"ZAPATERO, ALEJANDRA",SAN FRANCISCO,CA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,30,30,0,0,0,0,0,Y,90813,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,90813,0,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10011,
884,4/25/2017,5/1/2017,H-1B,4/27/2017,4/27/2020,"MICROINFO IT,INC",,"8801 JM KEYNES DR, SUITE 410",CHARLOTTE,NC,28262,UNITED STATES OF AMERICA,,9729614420,NA,N,",",,,SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,1,0,Y,63398,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,64000,0,Year,Y,N,Y,Y,NA,CHARLOTTE,MECKLENBURG,NC,28262,
885,2/28/2017,3/6/2017,H-1B,8/30/2017,8/29/2020,"RISK MANAGEMENT SOLUTIONS, INC.",,7575 GATEWAY BOULEVARD,NEWARK,CA,94560,UNITED STATES OF AMERICA,,5105052500,NA,Y,"CHAU, ANN",SAN JOSE,CA,"ANALYST, CAPITAL MARKETS",15-2031,OPERATIONS RESEARCH ANALYSTS,541330,1,1,0,0,0,0,0,Y,55744,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,120000,Year,N,N,,Y,NA,HOBOKEN,HUDSON,NJ,7030,
886,3/10/2017,3/16/2017,H-1B,8/15/2017,8/14/2020,"PERINT SARIMBA, INC.",,42329 OSGOOD ROAD,FREMONT,CA,94539,UNITED STATES OF AMERICA,ALAMEDA,5108708755,NA,Y,"SINGH, PAYAL",SANTA CLARA,CA,SENIOR SOFTWARE ENGINEER,15-1131,COMPUTER PROGRAMMERS,541511,1,0,1,0,0,0,0,Y,73091,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,95000,0,Year,N,N,,Y,NA,SANTA CLARA,SANTA CLARA,CA,95054,
887,3/22/2017,3/28/2017,H-1B,9/15/2017,9/14/2020,SHAMROCK FOODS COMPANY,,3900 EAST CAMELBACK RD.,PHOENIX,AZ,85018,UNITED STATES OF AMERICA,,6024772530,NA,Y,"PEMBERTON, PHILLIP",DENVER,CO,NUTRITIONIST (SCHOOLS ACCOUNT EXECUTIVE),29-1031,DIETITIANS AND NUTRITIONISTS,424490,1,1,0,0,0,0,0,Y,31970,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,45000,0,Year,N,N,,,NA,PHOENIX,MARICOPA,AZ,85009,
888,3/18/2017,7/19/2017,H-1B,4/3/2017,4/2/2020,SRI ANJANEYA TECHNOLOGIES LLC,TECREOS,14651 DALLAS PARKWAY,DALLAS,TX,75254,UNITED STATES OF AMERICA,,2143954571,NA,N,",",,,SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,0,0,1,0,Y,102149,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,102200,0,Year,Y,N,Y,,NA,SUNNYVALE,SANTA CLARA,CA,94085,3/23/2017
889,3/14/2017,3/20/2017,H-1B,8/1/2017,8/1/2020,801-803LLC,,767 9TH AVE,NEW YORK,NY,10019,UNITED STATES OF AMERICA,,7323012833,NA,Y,"RAMASAMI, KAVITHA",NEW YORK,NY,FINANCIAL ANALYST,13-2051,FINANCIAL ANALYSTS,5313,1,1,0,0,0,0,0,N,31.61,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,31.61,0,Hour,N,N,,,NA,NEW YORK,NEW YORK,NY,10019,
890,12/29/2016,1/5/2017,H-1B,1/5/2017,1/4/2020,GOOGLE INC.,,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,UNITED STATES OF AMERICA,,6502534513,NA,Y,"PENNARTZ, ROBERT",DALLAS,TX,INTERACTION DESIGNER 1615.30841,27-1024,GRAPHIC DESIGNERS,541512,1,0,0,0,0,1,0,Y,60570,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,110000,0,Year,N,N,,,NA,MOUNTAIN VIEW,SANTA CLARA,CA,94043,
891,7/15/2016,11/29/2016,H-1B,8/22/2016,8/21/2019,THE UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,,"847 MONROE AVENUE, SUITE 205K",MEMPHIS,TN,38163,UNITED STATES OF AMERICA,,9014488484,NA,N,",",,,CLINICAL FELLOW,29-1069,"PHYSICIANS AND SURGEONS, ALL OTHER",611310,1,1,0,0,0,0,0,Y,58560,Year,,Other,2014,AAMC SURVEY OF RESIDENT/FELLOW STIPENDS,59400,0,Year,N,N,,,NA,MEMPHIS,SHELBY,TN,38163,7/21/2016
892,8/30/2017,9/6/2017,H-1B,9/5/2017,9/5/2020,TECHNET LLC,,"211 BROADWAY,","LYNBROOK,",NY,11563,,,,NA,,",",,,SOFTWARE ENGINEER (DOT NET DEVELOPER),15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,1,0,0,0,0,Y,66248,Year,,OES,2017,OFLC ONLINE DATA CENTER,66248,0,Year,N,N,,,NA,MECHANICSBURG,CUMBERLAND,PA,17050,
893,7/24/2017,7/28/2017,H-1B,10/1/2017,10/1/2020,AUBURN UNIVERSITY AT MONTGOMERY,,P.O. BOX 244023,MONTGOMERY,AL,36124-4023,,,,NA,,",",,,"ASSISTANT PROFESSOR, DEPARTMENT OF COMMUNICATION AND THEATRE",25-1122,"COMMUNICATIONS TEACHERS, POSTSECONDARY",611310,1,1,0,0,0,0,0,Y,43540,Year,,OES,2017,OFLC ONLINE DATA CENTER,48000,0,Year,N,N,,,NA,MONTGOMERY,MONTGOMERY,AL,36117,
894,1/27/2017,2/2/2017,H-1B,4/1/2017,3/31/2020,SYNTEL CONSULTING INC.,,525 EAST BIG BEAVER ROAD,TROY,MI,48083,UNITED STATES OF AMERICA,,2486193580,NA,N,",",,,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,1,0,0,0,0,0,Y,55661,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,61000,0,Year,Y,N,Y,Y,NA,PHOENIX,MARICOPA,AZ,85050,
895,3/10/2017,3/16/2017,H-1B,3/17/2017,3/17/2020,"INCEDO, INC.",IB TECHNOLOGY SOLUTIONS INC,2350 MISSION COLLEGE BLVD,SANTA CLARA,CA,95054,UNITED STATES OF AMERICA,,4085316040,NA,Y,"MATHEWS, DIYA",EDISON,NJ,SR. SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,0,0,0,1,0,Y,122533,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,154000,0,Year,Y,N,Y,,NA,BELLEVUE,KING,WA,98004,
896,9/28/2016,5/5/2017,H-1B,3/24/2017,3/24/2020,HITACHI DATA SYSTEMS CORPORATION,,2845 LAFAYETTE STREET,SANTA CLARA,CA,95050,UNITED STATES OF AMERICA,,4089701311,NA,Y,"OYE, RONALD",SAN FRANCISCO,CA,SENIOR (SYSTEMS) SOFTWARE DEVELOPMENT ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,0,1,0,0,0,0,Y,122236,Year,,Other,2016,RADFORD GLOBAL TECHNOLOGY CUSTOM SURVEY,122236,143000,Year,N,N,,,NA,SANTA CLARA,SANTA CLARA,CA,95050,10/3/2016
897,2/3/2017,2/9/2017,H-1B,2/10/2017,2/10/2020,"ABOUT, INC.",,1500 BROADWAY,NEW YORK,NY,10036,UNITED STATES OF AMERICA,,2122044000,NA,Y,"DIRAIMONDO, DANA",BROOKLYN,NY,PRODUCT MANAGER,15-1121,COMPUTER SYSTEMS ANALYSTS,519130,1,0,0,0,0,1,0,Y,84864,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,110000,0,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10036,
898,3/9/2017,3/15/2017,H-1B,8/23/2017,8/22/2020,UNIVERSITY OF WISCONSIN - WHITEWATER,,800 W. MAIN STREET,WHITEWATER,WI,53190,UNITED STATES OF AMERICA,,2624725759,NA,N,",",,,"ASSISTANT PROFESSOR, ACCOUNTING",25-1011,"BUSINESS TEACHERS, POSTSECONDARY",611310,1,1,0,0,0,0,0,Y,45460,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,148000,0,Year,N,N,,,NA,WHITEWATER,WALWORTH,WI,53190,
899,11/17/2016,11/23/2016,H-1B,2/24/2017,2/24/2020,BANK OF AMERICA N.A.,,50 ROCKEFELLER PLAZA,NEW YORK,NY,10020,UNITED STATES OF AMERICA,,6468551847,NA,Y,"ATASSI, ISHA",NEW YORK,NY,"SENIOR VICE PRESIDENT, QUANTITATIVE OPERATIONS MGR",15-2031,OPERATIONS RESEARCH ANALYSTS,522110,1,0,1,0,0,0,0,Y,43618,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,118000,0,Year,N,N,,,NA,CHARLOTTE,MECKLENBURG,NC,28255,
900,3/24/2017,3/30/2017,H-1B,9/20/2017,9/19/2020,"NIVASOFT, INC.",,241 FORSGATE DRIVE,JAMESBURG,NJ,8831,UNITED STATES OF AMERICA,,7325618032,NA,Y,"REDDY, PRASHANTHI",NEW YORK,NY,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,1,0,0,0,0,0,Y,64813,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,64813,0,Year,Y,N,Y,,NA,JAMESBURG,MIDDLESEX,NJ,8831,
901,3/2/2017,3/8/2017,H-1B,9/1/2017,8/31/2020,WE WORK MANAGEMENT LLC,,115 W. 18TH STREET,NEW YORK,NY,10011,UNITED STATES OF AMERICA,,6466049289,NA,Y,"PACK, JAMES",IRVINE,CA,"DIRECTOR, ENTERPRISE STRATEGY",15-2031,OPERATIONS RESEARCH ANALYSTS,53131,1,1,0,0,0,0,0,Y,75504,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,160000,0,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10011,
902,2/22/2017,2/28/2017,H-1B,8/16/2017,8/15/2020,AFTON CHEMICAL CORPORATION,,500 SPRING STREET,RICHMOND,VA,23219,UNITED STATES OF AMERICA,,8047885917,NA,Y,"BAGGETT, D.",RICHMOND,VA,SENIOR R&D ENGINEER,17-2041,CHEMICAL ENGINEERS,324191,1,1,0,0,0,0,0,Y,72426,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,87000,0,Year,N,N,,Y,NA,RICHMOND,RICHMOND CITY,VA,23219,
903,3/2/2017,6/30/2017,H-1B,8/30/2017,8/30/2020,"JOYUS, INC.",,1940 BRYANT ST.,SAN FRANCISCO,CA,94110,UNITED STATES OF AMERICA,,4154454183,NA,Y,"LIN, GLORIA",SAN JOSE,CA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",454111,1,1,0,0,0,0,0,Y,80184,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,81000,95000,Year,N,N,,Y,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94110,3/8/2017
904,2/28/2017,3/6/2017,H-1B,8/4/2017,8/3/2020,"AIRBNB, INC.",,888 BRANNAN STREET,SAN FRANCISCO,CA,94103,UNITED STATES OF AMERICA,,4158005959,NA,Y,"SHEPPARD, DONALD",SAN DIEGO,CA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",561599,1,0,1,0,0,0,0,Y,136573,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,180000,0,Year,N,N,,,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94103,
905,3/21/2017,3/27/2017,H-1B,9/1/2017,8/30/2020,TECHLAND INC,,53 CLL LAS PALMERAS,SAN JUAN,PR,901,UNITED STATES OF AMERICA,,8553672456,NA,N,",",,,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541611,1,1,0,0,0,0,0,Y,47382,Year,Level III,OES,2017,OFLC ONLINE DATA CENTER,60000,1.00E+05,Year,N,N,,,NA,GUAYNABO,GUAYNABO,PR,968,
906,1/9/2017,1/13/2017,H-1B,6/2/2017,6/1/2020,ICONSOFT INC.,,101 CAMBRIDGE STREET,BURLINGTON,MA,1803,UNITED STATES OF AMERICA,,8882054614,NA,Y,"SHEPARD, MICHELLE",WOBURN,MA,SR. SOFTWARE AUTOMATION ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,1,0,0,0,0,Y,90646,Year,Level II,Other,2016,OFLC ONLINE DATA CENTER,92000,0,Year,Y,N,Y,,NA,SUITLAND,PRINCE GEORGE'S,MD,20746,
907,3/16/2017,3/22/2017,H-1B,9/7/2017,9/6/2020,"KC SYNERGY SOLUTONS, INC",,"6565 N MACARTHUR BLVD, #225",IRVING,TX,75039,UNITED STATES OF AMERICA,,8138381177,NA,N,",",,,SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,33.09,Hour,Level I,OES,2017,OFLC ONLINE DATA CENTER,33.1,0,Hour,Y,N,Y,Y,NA,IRVING,DALLAS,TX,75039,
908,3/19/2016,3/27/2017,H-1B,9/15/2016,9/5/2019,INVOLGIXS INC,,12885 RESEARCH BLVD 102B,AUSTIN,TX,78750,UNITED STATES OF AMERICA,,9728087328,NA,N,",",,,BUSINESS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,1,0,0,0,0,0,Y,48630,Year,Level I,Other,2015,OFLC ONLINE DATA CENTER,60000,0,Year,Y,N,Y,Y,NA,ARDMORE,CARTER,OK,73401,3/24/2016
909,3/9/2017,3/15/2017,H-1B,7/1/2017,6/30/2020,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,,3333 BURNET AVE.,CINCINNATI,OH,45229,UNITED STATES OF AMERICA,,(516363587,NA,N,",",,,RESEARCH ASSISTANT PROFESSOR,19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",622310,1,0,1,0,0,0,0,Y,51064,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,83200,135200,Year,N,N,,Y,NA,CINCINNATI,HAMILTON,OH,45229,
910,5/31/2017,6/6/2017,H-1B,6/8/2017,6/8/2020,"AUTOLIV ASP, INC.",,1320 PACIFIC DRIVE,AUBURN HILLS,MI,48326,UNITED STATES OF AMERICA,,2482767859,NA,Y,"AMMORI, CHRISTOPHER",WEST BLOOMFIELD,MI,SYSTEMS ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541330,1,0,0,0,0,1,0,Y,79082,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,104000,0,Year,N,N,,,NA,SOUTHFIELD,OAKLAND,MI,48034,
911,12/15/2016,12/27/2016,H-1B,1/16/2017,1/15/2020,"BETH ISRAEL DEACONESS MEDICAL CENTER, INC.",BIDMC,330 BROOKLINE AVENUE,BOSTON,MA,2215,UNITED STATES OF AMERICA,,6176329452,NA,Y,"DESAI, PRASANT",BOSTON,MA,CLINICAL RESEARCH ASSISTANT II,19-4021,BIOLOGICAL TECHNICIANS,622110,1,0,0,0,0,1,0,Y,34632,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,42723.2,0,Year,N,N,,,NA,BOSTON,SUFFOLK,MA,2215,12/21/2016
912,9/13/2017,9/19/2017,E-3 Australian,9/25/2017,9/24/2019,"EGEN SOLUTIONS, INC.",,40 SHUMAN BLVD.,NAPERVILLE,IL,60563,,,,NA,,",",,,GEOGRAPHIC ANALYST,19-3092,GEOGRAPHERS,541511,1,1,0,0,0,0,0,Y,47362,Year,,Other,2017,OFLC ONLINE DATA CENTER,54080,0,Year,,,,,NA,PALO ALTO,SANTA CLARA,CA,94304,
